DATE	VOLUME	TYPE
20220419	10	B
20220419	11	C
20220418	8	A
20220418	10	B
20220418	9	C
20220417	8	A
20220417	17	B
20220417	4	C
20220416	10	A
20220416	17	B
20220416	7	C
20220415	8	A
20220415	19	B
20220415	7	C
20220414	8	A
20220414	15	B
20220414	5	C
20220413	7	A
20220413	17	B
20220413	7	C
20220412	6	A
20220412	18	B
20220412	8	C
20220411	12	A
20220411	33	B
20220411	14	C
20220410	9	A
20220410	22	B
20220410	13	C
20220409	6	A
20220409	22	B
20220409	10	C
20220408	11	A
20220408	13	B
20220408	10	C
20220407	7	A
20220407	20	B
20220407	11	C
20220406	8	A
20220406	17	B
20220406	12	C
20220405	7	A
20220405	27	B
20220405	8	C
20220404	8	A
20220404	25	B
20220404	12	C
20220403	9	A
20220403	22	B
20220403	8	C
20220402	10	A
20220402	21	B
20220402	8	C
20220401	10	A
20220401	16	B
20220401	12	C
20220331	8	A
20220331	20	B
20220331	9	C
20220330	13	A
20220330	22	B
20220330	4	C
20220329	10	A
20220329	14	B
20220329	8	C
20220328	13	A
20220328	15	B
20220328	6	C
20220327	12	A
20220327	20	B
20220327	3	C
20220326	4	A
20220326	21	B
20220326	7	C
20220325	7	A
20220325	19	B
20220325	7	C
20220324	9	A
20220324	13	B
20220324	7	C
20220323	7	A
20220323	20	B
20220323	5	C
20220322	12	A
20220322	10	B
20220322	8	C
20220321	12	A
20220321	15	B
20220321	6	C
20220320	9	A
20220320	20	B
20220320	4	C
20220319	4	A
20220319	16	B
20220319	8	C
20220318	5	A
20220318	16	B
20220318	10	C
20220317	11	A
20220317	12	B
20220317	1	C
20220316	6	A
20220316	14	B
20220316	5	C
20220315	7	A
20220315	15	B
20220315	2	C
20220314	9	A
20220314	13	B
20220314	8	C
20220313	9	A
20220313	14	B
20220313	2	C
20220312	5	A
20220312	12	B
20220312	6	C
20220311	6	A
20220311	14	B
20220311	6	C
20220310	10	A
20220310	8	B
20220310	8	C
20220309	11	A
20220309	14	B
20220309	4	C
20220308	4	A
20220308	20	B
20220308	9	C
20220307	7	A
20220307	18	B
20220307	11	C
20220306	8	A
20220306	19	B
20220306	6	C
20220305	7	A
20220305	21	B
20220305	6	C
20220304	9	A
20220304	24	B
20220304	7	C
20220303	9	A
20220303	16	B
20220303	11	C
20220302	3	A
20220302	18	B
20220302	15	C
20220301	5	A
20220301	20	B
20220301	7	C
20220228	8	A
20220228	18	B
20220228	15	C
20220227	11	A
20220227	13	B
20220227	16	C
20220226	7	A
20220226	15	B
20220226	11	C
20220225	9	A
20220225	18	B
20220225	13	C
20220224	12	A
20220224	19	B
20220224	10	C
20220223	10	A
20220223	18	B
20220223	6	C
20220222	10	A
20220222	17	B
20220222	11	C
20220221	11	A
20220221	16	B
20220221	11	C
20220220	10	A
20220220	18	B
20220220	8	C
20220219	5	A
20220219	23	B
20220219	6	C
20220218	7	A
20220218	15	B
20220218	15	C
20220217	8	A
20220217	19	B
20220217	9	C
20220216	7	A
20220216	16	B
20220216	6	C
20220215	7	A
20220215	16	B
20220215	8	C
20220214	6	A
20220214	20	B
20220214	6	C
20220213	3	A
20220213	20	B
20220213	10	C
20220212	3	A
20220212	12	B
20220212	11	C
20220211	3	A
20220211	20	B
20220211	8	C
20220210	2	A
20220210	18	B
20220210	8	C
20220209	2	A
20220209	17	B
20220209	8	C
20220208	3	A
20220208	17	B
20220208	10	C
20220207	3	A
20220207	22	B
20220207	4	C
20220206	3	A
20220206	16	B
20220206	9	C
20220205	4	A
20220205	16	B
20220205	5	C
20220204	0	A
20220204	19	B
20220204	9	C
20220203	1	A
20220203	17	B
20220203	5	C
20220202	2	A
20220202	15	B
20220202	13	C
20220201	0	A
20220201	18	B
20220201	8	C
20220131	3	A
20220131	21	B
20220131	0	C
20220130	3	A
20220130	35	B
20220130	19	C
20220129	1	A
20220129	16	B
20220129	9	C
20220128	4	A
20220128	10	B
20220128	14	C
20220127	3	A
20220127	17	B
20220127	10	C
20220126	4	A
20220126	21	B
20220126	7	C
20220125	7	A
20220125	21	B
20220125	5	C
20220124	3	A
20220124	26	B
20220124	8	C
20220123	7	A
20220123	18	B
20220123	7	C
20220122	6	A
20220122	18	B
20220122	12	C
20220121	4	A
20220121	19	B
20220121	13	C
20220120	2	A
20220120	22	B
20220120	14	C
20220119	6	A
20220119	21	B
20220119	8	C
20220118	3	A
20220118	25	B
20220118	7	C
20220117	4	A
20220117	27	B
20220117	11	C
20220116	2	A
20220116	24	B
20220116	11	C
20220115	5	A
20220115	27	B
20220115	9	C
20220114	3	A
20220114	21	B
20220114	13	C
20220113	4	A
20220113	25	B
20220113	9	C
20220112	6	A
20220112	23	B
20220112	11	C
20220111	3	A
20220111	20	B
20220111	9	C
20220110	6	A
20220110	21	B
20220110	9	C
20220109	2	A
20220109	6	B
20220109	2	C
20220108	1	A
20220108	5	B
20220108	3	C
20220107	1	A
20220107	6	B
20220107	2	C
20220106	0	A
20220106	6	B
20220106	3	C
20220105	1	A
20220105	5	B
20220105	2	C
20220104	0	A
20220104	6	B
20220104	1	C
20220103	0	A
20220103	5	B
20220103	3	C
20220102	6	A
20220102	15	B
20220102	8	C
20220101	5	A
20220101	15	B
20220101	12	C
20211231	1	A
20211231	23	B
20211231	9	C
20211230	3	A
20211230	12	B
20211230	6	C
20211229	2	A
20211229	12	B
20211229	10	C
20211228	2	A
20211228	12	B
20211228	11	C
20211227	4	A
20211227	13	B
20211227	9	C
20211226	4	A
20211226	13	B
20211226	7	C
20211225	3	A
20211225	13	B
20211225	8	C
20211224	1	A
20211224	22	B
20211224	4	C
20211223	5	A
20211223	22	B
20211223	4	C
20211222	5	A
20211222	12	B
20211222	8	C
20211221	2	A
20211221	14	B
20211221	7	C
20211220	4	A
20211220	19	B
20211220	8	C
20211219	6	A
20211219	17	B
20211219	7	C
20211218	3	A
20211218	22	B
20211218	9	C
20211217	4	A
20211217	16	B
20211217	7	C
20211216	0	A
20211216	19	B
20211216	9	C
20211215	5	A
20211215	16	B
20211215	10	C
20211214	4	A
20211214	19	B
20211214	13	C
20211213	4	A
20211213	18	B
20211213	10	C
20211212	3	A
20211212	23	B
20211212	10	C
20211211	3	A
20211211	27	B
20211211	7	C
20211210	1	A
20211210	27	B
20211210	14	C
20211209	8	A
20211209	20	B
20211209	9	C
20211208	3	A
20211208	23	B
20211208	12	C
20211207	6	A
20211207	22	B
20211207	8	C
20211206	3	A
20211206	19	B
20211206	12	C
20211205	5	A
20211205	21	B
20211205	14	C
20211204	1	A
20211204	21	B
20211204	13	C
20211203	3	A
20211203	20	B
20211203	10	C
20211202	3	A
20211202	23	B
20211202	8	C
20211201	1	A
20211201	23	B
20211201	15	C
20211130	2	A
20211130	15	B
20211130	10	C
20211129	3	A
20211129	13	B
20211129	13	C
20211128	3	A
20211128	19	B
20211128	11	C
20211127	2	A
20211127	25	B
20211127	7	C
20211126	6	A
20211126	20	B
20211126	9	C
20211125	1	A
20211125	17	B
20211125	9	C
20211124	4	A
20211124	21	B
20211124	7	C
20211123	3	A
20211123	16	B
20211123	7	C
20211122	1	A
20211122	21	B
20211122	7	C
20211121	3	A
20211121	15	B
20211121	6	C
20211120	3	A
20211120	14	B
20211120	10	C
20211119	3	A
20211119	17	B
20211119	3	C
20211118	3	A
20211118	18	B
20211118	12	C
20211117	2	A
20211117	8	B
20211117	7	C
20211116	1	A
20211116	12	B
20211116	8	C
20211115	2	A
20211115	10	B
20211115	9	C
20211114	4	A
20211114	15	B
20211114	5	C
20211113	2	A
20211113	9	B
20211113	15	C
20211112	1	A
20211112	20	B
20211112	3	C
20211111	1	A
20211111	17	B
20211111	10	C
20211110	0	A
20211110	19	B
20211110	8	C
20211109	3	A
20211109	19	B
20211109	7	C
20211108	3	A
20211108	14	B
20211108	8	C
20211107	0	A
20211107	17	B
20211107	11	C
20211106	2	A
20211106	26	B
20211106	8	C
20211105	10	A
20211105	2	B
20211105	20	C
20211104	9	A
20211104	2	B
20211104	23	C
20211103	4	A
20211103	2	B
20211103	26	C
20211102	12	A
20211102	1	B
20211102	22	C
20211101	12	A
20211101	3	B
20211101	17	C
20211031	10	A
20211031	2	B
20211031	20	C
20211030	15	A
20211030	1	B
20211030	24	C
20211029	8	A
20211029	4	B
20211029	20	C
20211028	11	A
20211028	3	B
20211028	23	C
20211027	9	A
20211027	3	B
20211027	24	C
20211026	9	A
20211026	5	B
20211026	21	C
20211025	9	A
20211025	3	B
20211025	20	C
20211024	10	A
20211024	3	B
20211024	22	C
20211023	16	A
20211023	6	B
20211023	42	C
20211022	9	A
20211022	3	B
20211022	24	C
20211021	9	A
20211021	5	B
20211021	22	C
20211020	11	A
20211020	4	B
20211020	14	C
20211019	8	A
20211019	5	B
20211019	15	C
20211018	10	A
20211018	4	B
20211018	14	C
20211017	7	A
20211017	3	B
20211017	18	C
20211016	6	A
20211016	2	B
20211016	13	C
20211015	5	A
20211015	1	B
20211015	23	C
20211014	4	A
20211014	5	B
20211014	16	C
20211013	4	A
20211013	2	B
20211013	13	C
20211012	8	A
20211012	5	B
20211012	14	C
20211011	4	A
20211011	0	B
20211011	17	C
20211010	8	A
20211010	1	B
20211010	12	C
20211009	4	A
20211009	2	B
20211009	18	C
20211008	11	A
20211008	2	B
20211008	7	C
20211007	7	A
20211007	4	B
20211007	16	C
20211006	6	A
20211006	2	B
20211006	17	C
20211005	7	A
20211005	3	B
20211005	15	C
20211004	8	A
20211004	2	B
20211004	14	C
20211003	3	A
20211003	3	B
20211003	19	C
20211002	7	A
20211002	4	B
20211002	20	C
20211001	10	A
20211001	2	B
20211001	15	C
20210930	8	A
20210930	3	B
20210930	13	C
20210929	8	A
20210929	2	B
20210929	21	C
20210928	4	A
20210928	1	B
20210928	22	C
20210927	6	A
20210927	3	B
20210927	22	C
20210926	7	A
20210926	3	B
20210926	16	C
20210925	11	A
20210925	0	B
20210925	22	C
20210924	6	A
20210924	0	B
20210924	28	C
20210923	17	A
20210923	3	B
20210923	15	C
20210922	5	A
20210922	6	B
20210922	20	C
20210921	8	A
20210921	7	B
20210921	20	C
20210920	12	A
20210920	1	B
20210920	21	C
20210919	7	A
20210919	3	B
20210919	24	C
20210918	8	A
20210918	4	B
20210918	26	C
20210917	9	A
20210917	2	B
20210917	23	C
20210916	8	A
20210916	5	B
20210916	22	C
20210915	10	A
20210915	3	B
20210915	17	C
20210914	7	A
20210914	4	B
20210914	21	C
20210913	10	A
20210913	3	B
20210913	20	C
20210912	11	A
20210912	1	B
20210912	20	C
20210911	10	A
20210911	1	B
20210911	17	C
20210910	5	A
20210910	6	B
20210910	17	C
20210909	8	A
20210909	4	B
20210909	20	C
20210908	8	A
20210908	3	B
20210908	19	C
20210907	8	A
20210907	2	B
20210907	19	C
20210906	4	A
20210906	3	B
20210906	18	C
20210905	7	A
20210905	4	B
20210905	14	C
20210904	4	A
20210904	2	B
20210904	18	C
20210903	6	A
20210903	2	B
20210903	14	C
20210902	4	A
20210902	2	B
20210902	20	C
20210901	8	A
20210901	3	B
20210901	9	C
20210831	5	A
20210831	2	B
20210831	15	C
20210830	6	A
20210830	5	B
20210830	7	C
20210829	5	A
20210829	2	B
20210829	8	C
20210828	8	A
20210828	1	B
20210828	9	C
20210827	5	A
20210827	3	B
20210827	20	C
20210826	7	A
20210826	2	B
20210826	21	C
20210825	4	A
20210825	0	B
20210825	17	C
20210824	7	A
20210824	0	B
20210824	11	C
20210823	6	A
20210823	2	B
20210823	16	C
20210822	10	A
20210822	1	B
20210822	12	C
20210821	5	A
20210821	4	B
20210821	19	C
20210820	9	A
20210820	2	B
20210820	15	C
20210819	4	A
20210819	1	B
20210819	18	C
20210818	14	A
20210818	4	B
20210818	18	C
20210817	7	A
20210817	2	B
20210817	29	C
20210816	12	A
20210816	0	B
20210816	22	C
20210815	9	A
20210815	2	B
20210815	15	C
20210814	7	A
20210814	4	B
20210814	26	C
20210813	9	A
20210813	3	B
20210813	26	C
20210812	14	A
20210812	3	B
20210812	14	C
20210811	7	A
20210811	1	B
20210811	30	C
20210810	9	A
20210810	4	B
20210810	24	C
20210809	7	A
20210809	5	B
20210809	15	C
20210808	9	A
20210808	2	B
20210808	25	C
20210807	10	A
20210807	2	B
20210807	22	C
20210806	11	A
20210806	4	B
20210806	18	C
20210805	9	A
20210805	1	B
20210805	20	C
20210804	9	A
20210804	1	B
20210804	22	C
20210803	8	A
20210803	1	B
20210803	16	C
20210802	8	A
20210802	3	B
20210802	15	C
20210801	10	A
20210801	3	B
20210801	16	C
20210731	7	A
20210731	1	B
20210731	14	C
20210730	4	A
20210730	2	B
20210730	15	C
20210729	12	A
20210729	3	B
20210729	14	C
20210728	1	A
20210728	2	B
20210728	16	C
20210727	1	A
20210727	6	B
20210727	20	C
20210726	2	A
20210726	6	B
20210726	20	C
20210725	0	A
20210725	6	B
20210725	17	C
20210724	1	A
20210724	6	B
20210724	15	C
20210723	0	A
20210723	1	B
20210723	18	C
20210722	0	A
20210722	2	B
20210722	16	C
20210721	1	A
20210721	6	B
20210721	17	C
20210720	0	A
20210720	5	B
20210720	17	C
20210719	0	A
20210719	6	B
20210719	15	C
20210718	0	A
20210718	5	B
20210718	17	C
20210717	1	A
20210717	5	B
20210717	16	C
20210716	2	A
20210716	4	B
20210716	19	C
20210715	0	A
20210715	6	B
20210715	20	C
20210714	0	A
20210714	5	B
20210714	17	C
20210713	2	A
20210713	5	B
20210713	15	C
20210712	0	A
20210712	7	B
20210712	21	C
20210711	3	A
20210711	6	B
20210711	26	C
20210710	1	A
20210710	11	B
20210710	20	C
20210709	1	A
20210709	9	B
20210709	16	C
20210708	0	A
20210708	9	B
20210708	23	C
20210707	1	A
20210707	12	B
20210707	21	C
20210706	0	A
20210706	7	B
20210706	24	C
20210705	1	A
20210705	7	B
20210705	22	C
20210704	1	A
20210704	7	B
20210704	24	C
20210703	1	A
20210703	8	B
20210703	22	C
20210702	2	A
20210702	6	B
20210702	26	C
20210701	2	A
20210701	16	B
20210701	18	C
20210630	2	A
20210630	8	B
20210630	26	C
20210629	2	A
20210629	9	B
20210629	23	C
20210628	1	A
20210628	7	B
20210628	22	C
20210627	0	A
20210627	11	B
20210627	21	C
20210626	0	A
20210626	6	B
20210626	25	C
20210625	2	A
20210625	11	B
20210625	22	C
20210624	4	A
20210624	6	B
20210624	14	C
20210623	3	A
20210623	7	B
20210623	19	C
20210622	0	A
20210622	7	B
20210622	19	C
20210621	2	A
20210621	5	B
20210621	21	C
20210620	3	A
20210620	2	B
20210620	20	C
20210619	2	A
20210619	3	B
20210619	16	C
20210618	1	A
20210618	7	B
20210618	19	C
20210617	3	A
20210617	8	B
20210617	10	C
20210616	2	A
20210616	8	B
20210616	15	C
20210615	3	A
20210615	6	B
20210615	12	C
20210614	3	A
20210614	3	B
20210614	16	C
20210613	1	A
20210613	5	B
20210613	13	C
20210612	0	A
20210612	6	B
20210612	18	C
20210611	1	A
20210611	3	B
20210611	14	C
20210610	1	A
20210610	4	B
20210610	13	C
20210609	1	A
20210609	7	B
20210609	13	C
20210608	1	A
20210608	6	B
20210608	14	C
20210607	0	A
20210607	2	B
20210607	13	C
20210606	0	A
20210606	2	B
20210606	17	C
20210605	2	A
20210605	7	B
20210605	13	C
20210604	1	A
20210604	5	B
20210604	19	C
20210603	0	A
20210603	10	B
20210603	19	C
20210602	1	A
20210602	2	B
20210602	22	C
20210601	0	A
20210601	9	B
20210601	21	C
20210531	2	A
20210531	6	B
20210531	27	C
20210530	0	A
20210530	8	B
20210530	20	C
20210529	0	A
20210529	9	B
20210529	24	C
20210528	2	A
20210528	7	B
20210528	17	C
20210527	1	A
20210527	10	B
20210527	20	C
20210526	2	A
20210526	7	B
20210526	28	C
20210525	2	A
20210525	4	B
20210525	20	C
20210524	1	A
20210524	9	B
20210524	20	C
20210523	1	A
20210523	4	B
20210523	26	C
20210522	3	A
20210522	9	B
20210522	20	C
20210521	2	A
20210521	10	B
20210521	25	C
20210520	0	A
20210520	9	B
20210520	20	C
20210519	1	A
20210519	9	B
20210519	20	C
20210518	0	A
20210518	5	B
20210518	27	C
20210517	1	A
20210517	7	B
20210517	25	C
20210516	3	A
20210516	10	B
20210516	15	C
20210515	2	A
20210515	7	B
20210515	18	C
20210514	1	A
20210514	4	B
20210514	13	C
20210513	0	A
20210513	6	B
20210513	19	C
20210512	0	A
20210512	10	B
20210512	14	C
20210511	1	A
20210511	7	B
20210511	17	C
20210510	1	A
20210510	7	B
20210510	18	C
20210509	2	A
20210509	5	B
20210509	15	C
20210508	1	A
20210508	7	B
20210508	10	C
20210507	1	A
20210507	7	B
20210507	14	C
20210506	1	A
20210506	10	B
20210506	9	C
20210505	1	A
20210505	2	B
20210505	14	C
20210504	0	A
20210504	2	B
20210504	13	C
20210503	2	A
20210503	4	B
20210503	13	C
20210502	0	A
20210502	5	B
20210502	11	C
20210501	1	A
20210501	8	B
20210501	10	C
20210430	1	A
20210430	3	B
20210430	17	C
20210429	0	A
20210429	4	B
20210429	16	C
20210428	1	A
20210428	7	B
20210428	14	C
20210427	2	A
20210427	8	B
20210427	12	C
20210426	1	A
20210426	9	B
20210426	14	C
20210425	1	A
20210425	11	B
20210425	18	C
20210424	1	A
20210424	6	B
20210424	16	C
20210423	3	A
20210423	7	B
20210423	11	C
20210422	4	A
20210422	10	B
20210422	16	C
20210421	0	A
20210421	7	B
20210421	16	C
20210420	4	A
20210420	1	B
20210420	25	C
